trial_number,n_clusters,linkage,metric,combined_score,silhouette,davies_bouldin,sse,n_merge_steps,h_max,intra_dist_mean,inter_dist_mean,ratio_intra_inter,trial_duration_sec
34,7,average,manhattan,0.7689808424504027,0.6694040329634366,0.3912213573036479,71.88011295947784,265,5.5590194032302165,0.6018566892794985,3.07505409033046,0.19572230978695546,0.054754018783569336
35,5,single,manhattan,0.7241973133563058,0.4198211922707667,0.35619612981837,452.56571555362933,265,2.0730925497395596,1.3695087715567749,3.7693229981709964,0.3633301715509506,0.0491642951965332
36,6,complete,manhattan,0.7375121224935699,0.6620706401206259,0.49122701843266686,70.54625355656086,265,9.157103344342225,0.5769175086370584,2.970831213872464,0.1941939703416725,0.052426815032958984
38,13,average,manhattan,0.7123355765284547,0.503645332795934,0.469217574280194,35.252117204941996,265,5.5590194032302165,0.4620698539269198,2.553016790541049,0.18098974344340857,0.050984859466552734
39,6,average,cosine,0.639720717788032,0.3501991265258187,0.6358274189739102,95.87111252482036,265,1.4463886161327888,0.4526078525379064,2.120677224160616,0.21342609209038846,0.05304694175720215
40,11,single,manhattan,0.7252610370681095,0.406879434547862,0.34088399500624256,261.74964903916594,265,2.0730925497395596,1.0719087540580163,3.5380025775027844,0.3029700319818011,0.05233287811279297
41,5,average,manhattan,0.7766295408763976,0.7239650294008314,0.4006802230028092,92.8937993969267,265,5.5590194032302165,0.6105558677914419,3.092608649563155,0.19742422562178638,0.047441720962524414
42,5,average,manhattan,0.7766295408763976,0.7239650294008314,0.4006802230028092,92.8937993969267,265,5.5590194032302165,0.6105558677914419,3.092608649563155,0.19742422562178638,0.054223060607910156
43,5,average,manhattan,0.7766295408763976,0.7239650294008314,0.4006802230028092,92.8937993969267,265,5.5590194032302165,0.6105558677914419,3.092608649563155,0.19742422562178638,0.05532550811767578
44,16,average,manhattan,0.7307566670088815,0.5308494635535967,0.42340832394229877,16.653631905246925,265,5.5590194032302165,0.28491380202713207,1.9168324243969594,0.14863782477835435,0.051038503646850586
45,6,complete,manhattan,0.7375121224935699,0.6620706401206259,0.49122701843266686,70.54625355656086,265,9.157103344342225,0.5769175086370584,2.970831213872464,0.1941939703416725,0.050420284271240234
46,5,average,euclidean,0.7507399164416751,0.7254367796319611,0.48533892510092336,90.65032713916953,265,3.1742462266488802,0.6160093409436932,3.116800518070649,0.19764156781031836,0.05413198471069336
47,8,average,manhattan,0.7326148363051633,0.5458351962328427,0.4280909463622446,59.33215024360995,265,5.5590194032302165,0.5460946264873715,2.8723867104207477,0.1901187693516342,0.05209183692932129
49,5,average,manhattan,0.7766295408763976,0.7239650294008314,0.4006802230028092,92.8937993969267,265,5.5590194032302165,0.6105558677914419,3.092608649563155,0.19742422562178638,0.048665523529052734
50,6,average,manhattan,0.7595046174614245,0.679596482301888,0.4282819933980682,74.12031109520557,265,5.5590194032302165,0.6023872431888232,3.0764662788883403,0.19580492311012615,0.05281186103820801
51,5,average,manhattan,0.7766295408763976,0.7239650294008314,0.4006802230028092,92.8937993969267,265,5.5590194032302165,0.6105558677914419,3.092608649563155,0.19742422562178638,0.05192136764526367
52,5,average,manhattan,0.7766295408763976,0.7239650294008314,0.4006802230028092,92.8937993969267,265,5.5590194032302165,0.6105558677914419,3.092608649563155,0.19742422562178638,0.05029010772705078
53,6,average,manhattan,0.7595046174614245,0.679596482301888,0.4282819933980682,74.12031109520557,265,5.5590194032302165,0.6023872431888232,3.0764662788883403,0.19580492311012615,0.04847550392150879
54,6,average,manhattan,0.7595046174614245,0.679596482301888,0.4282819933980682,74.12031109520557,265,5.5590194032302165,0.6023872431888232,3.0764662788883403,0.19580492311012615,0.054170846939086914
55,7,average,manhattan,0.7689808424504027,0.6694040329634366,0.3912213573036479,71.88011295947784,265,5.5590194032302165,0.6018566892794985,3.07505409033046,0.19572230978695546,0.051104068756103516
56,5,average,manhattan,0.7766295408763976,0.7239650294008314,0.4006802230028092,92.8937993969267,265,5.5590194032302165,0.6105558677914419,3.092608649563155,0.19742422562178638,0.04719996452331543
57,5,complete,euclidean,0.7027520713280725,0.6083199472307067,0.5821059025181876,72.3180459502894,265,6.4797876622349175,0.5395820625763608,2.754125706772457,0.19591773216789646,0.04641437530517578
58,15,average,manhattan,0.7257530615292767,0.5000882708085899,0.41745159029966755,34.55483717116653,265,5.5590194032302165,0.46187923858267277,2.551752476889685,0.18100471843000754,0.05294346809387207
59,6,average,manhattan,0.7595046174614245,0.679596482301888,0.4282819933980682,74.12031109520557,265,5.5590194032302165,0.6023872431888232,3.0764662788883403,0.19580492311012615,0.04713249206542969
61,5,average,manhattan,0.7766295408763976,0.7239650294008314,0.4006802230028092,92.8937993969267,265,5.5590194032302165,0.6105558677914419,3.092608649563155,0.19742422562178638,0.049303531646728516
62,5,average,manhattan,0.7766295408763976,0.7239650294008314,0.4006802230028092,92.8937993969267,265,5.5590194032302165,0.6105558677914419,3.092608649563155,0.19742422562178638,0.050032854080200195
63,5,average,manhattan,0.7766295408763976,0.7239650294008314,0.4006802230028092,92.8937993969267,265,5.5590194032302165,0.6105558677914419,3.092608649563155,0.19742422562178638,0.05261564254760742
64,5,average,manhattan,0.7766295408763976,0.7239650294008314,0.4006802230028092,92.8937993969267,265,5.5590194032302165,0.6105558677914419,3.092608649563155,0.19742422562178638,0.04812312126159668
65,6,average,manhattan,0.7595046174614245,0.679596482301888,0.4282819933980682,74.12031109520557,265,5.5590194032302165,0.6023872431888232,3.0764662788883403,0.19580492311012615,0.05043172836303711
66,5,average,manhattan,0.7766295408763976,0.7239650294008314,0.4006802230028092,92.8937993969267,265,5.5590194032302165,0.6105558677914419,3.092608649563155,0.19742422562178638,0.04789400100708008
67,6,average,manhattan,0.7595046174614245,0.679596482301888,0.4282819933980682,74.12031109520557,265,5.5590194032302165,0.6023872431888232,3.0764662788883403,0.19580492311012615,0.052800893783569336
68,5,single,manhattan,0.7241973133563058,0.4198211922707667,0.35619612981837,452.56571555362933,265,2.0730925497395596,1.3695087715567749,3.7693229981709964,0.3633301715509506,0.04763484001159668
69,7,average,cosine,0.6470174834002137,0.3841567051499794,0.6347913808263251,89.46457233428744,265,1.4463886161327888,0.4113543865623479,1.8578062942243054,0.22141941699787399,0.0514218807220459
70,10,average,euclidean,0.7382791600168762,0.5406734334164569,0.40448751289879337,51.89356190430371,265,3.1742462266488802,0.5502708140171676,2.876517769818874,0.1912975542131364,0.05144190788269043
71,6,average,manhattan,0.7595046174614245,0.679596482301888,0.4282819933980682,74.12031109520557,265,5.5590194032302165,0.6023872431888232,3.0764662788883403,0.19580492311012615,0.05357098579406738
72,5,average,manhattan,0.7766295408763976,0.7239650294008314,0.4006802230028092,92.8937993969267,265,5.5590194032302165,0.6105558677914419,3.092608649563155,0.19742422562178638,0.04992079734802246
73,5,average,manhattan,0.7766295408763976,0.7239650294008314,0.4006802230028092,92.8937993969267,265,5.5590194032302165,0.6105558677914419,3.092608649563155,0.19742422562178638,0.052141427993774414
74,5,average,manhattan,0.7766295408763976,0.7239650294008314,0.4006802230028092,92.8937993969267,265,5.5590194032302165,0.6105558677914419,3.092608649563155,0.19742422562178638,0.050673484802246094
75,12,average,manhattan,0.7230205983061594,0.5089128409694044,0.43419129435607245,36.83683067803362,265,5.5590194032302165,0.4627644318015762,2.5565653236216366,0.1810102122271775,0.0567171573638916
76,6,complete,manhattan,0.7375121224935699,0.6620706401206259,0.49122701843266686,70.54625355656086,265,9.157103344342225,0.5769175086370584,2.970831213872464,0.1941939703416725,0.0503542423248291
77,5,average,manhattan,0.7766295408763976,0.7239650294008314,0.4006802230028092,92.8937993969267,265,5.5590194032302165,0.6105558677914419,3.092608649563155,0.19742422562178638,0.04768061637878418
78,5,average,manhattan,0.7766295408763976,0.7239650294008314,0.4006802230028092,92.8937993969267,265,5.5590194032302165,0.6105558677914419,3.092608649563155,0.19742422562178638,0.0493931770324707
79,6,single,manhattan,0.7350502798827744,0.41870615047753856,0.3167464293149397,452.2935912928151,265,2.0730925497395596,1.3695521289928547,3.7653461768981433,0.3637254224844514,0.05094742774963379
81,5,average,manhattan,0.7766295408763976,0.7239650294008314,0.4006802230028092,92.8937993969267,265,5.5590194032302165,0.6105558677914419,3.092608649563155,0.19742422562178638,0.05121970176696777
82,5,average,manhattan,0.7766295408763976,0.7239650294008314,0.4006802230028092,92.8937993969267,265,5.5590194032302165,0.6105558677914419,3.092608649563155,0.19742422562178638,0.052800655364990234
83,5,average,manhattan,0.7766295408763976,0.7239650294008314,0.4006802230028092,92.8937993969267,265,5.5590194032302165,0.6105558677914419,3.092608649563155,0.19742422562178638,0.05435061454772949
84,5,average,manhattan,0.7766295408763976,0.7239650294008314,0.4006802230028092,92.8937993969267,265,5.5590194032302165,0.6105558677914419,3.092608649563155,0.19742422562178638,0.05476498603820801
85,6,average,manhattan,0.7595046174614245,0.679596482301888,0.4282819933980682,74.12031109520557,265,5.5590194032302165,0.6023872431888232,3.0764662788883403,0.19580492311012615,0.05045795440673828
86,6,average,manhattan,0.7595046174614245,0.679596482301888,0.4282819933980682,74.12031109520557,265,5.5590194032302165,0.6023872431888232,3.0764662788883403,0.19580492311012615,0.05190134048461914
87,5,average,manhattan,0.7766295408763976,0.7239650294008314,0.4006802230028092,92.8937993969267,265,5.5590194032302165,0.6105558677914419,3.092608649563155,0.19742422562178638,0.04773712158203125
88,5,average,manhattan,0.7766295408763976,0.7239650294008314,0.4006802230028092,92.8937993969267,265,5.5590194032302165,0.6105558677914419,3.092608649563155,0.19742422562178638,0.048535823822021484
89,6,average,euclidean,0.7439737571993794,0.6767512518877812,0.4783500593471774,75.16781609783285,265,3.1742462266488802,0.6098933618091796,3.10134141081339,0.19665469905457006,0.0520787239074707
90,13,average,manhattan,0.7123355765284547,0.503645332795934,0.469217574280194,35.252117204941996,265,5.5590194032302165,0.4620698539269198,2.553016790541049,0.18098974344340857,0.05577898025512695
91,5,average,manhattan,0.7766295408763976,0.7239650294008314,0.4006802230028092,92.8937993969267,265,5.5590194032302165,0.6105558677914419,3.092608649563155,0.19742422562178638,0.05106663703918457
92,5,average,manhattan,0.7766295408763976,0.7239650294008314,0.4006802230028092,92.8937993969267,265,5.5590194032302165,0.6105558677914419,3.092608649563155,0.19742422562178638,0.04933357238769531
93,5,average,manhattan,0.7766295408763976,0.7239650294008314,0.4006802230028092,92.8937993969267,265,5.5590194032302165,0.6105558677914419,3.092608649563155,0.19742422562178638,0.050383806228637695
94,6,average,manhattan,0.7595046174614245,0.679596482301888,0.4282819933980682,74.12031109520557,265,5.5590194032302165,0.6023872431888232,3.0764662788883403,0.19580492311012615,0.04898238182067871
95,5,average,manhattan,0.7766295408763976,0.7239650294008314,0.4006802230028092,92.8937993969267,265,5.5590194032302165,0.6105558677914419,3.092608649563155,0.19742422562178638,0.05215024948120117
96,5,complete,manhattan,0.7367754601273588,0.7099150851321815,0.5236428617565061,96.0297970684935,265,9.157103344342225,0.5889072793429965,2.985659562903264,0.19724528766104332,0.04886198043823242
97,5,average,manhattan,0.7766295408763976,0.7239650294008314,0.4006802230028092,92.8937993969267,265,5.5590194032302165,0.6105558677914419,3.092608649563155,0.19742422562178638,0.0487980842590332
98,6,average,manhattan,0.7595046174614245,0.679596482301888,0.4282819933980682,74.12031109520557,265,5.5590194032302165,0.6023872431888232,3.0764662788883403,0.19580492311012615,0.05268502235412598
