status,dataset,algo,alpha,beta,gamma,silhouette,db_inv,sse_term,elapsed,silhouette_n,db_inv_n,sse_term_n
OK,clean_hospital,KMEANS,0.2,0.8,0.0,0.0,0.0,5.878630915390204e-13,5.846781,0.0,0.0,0.35890520480148963
OK,clean_hospital,KMEANSNF,0.2,0.8,0.0,0.0,0.0,3.957945082788683e-13,8.19405,0.0,0.0,0.2416425033271597
OK,clean_hospital,KMEANSPPS,0.2,0.8,0.0,0.0,0.0,5.804245972740318e-13,6.293813,0.0,0.0,0.3543638169409231
OK,clean_rayyan,DBSCAN,0.2,0.8,0.0,0.0,0.0,0.0,3.19609,0.0,0.0,0.0
OK,clean_rayyan,KMEANS,0.2,0.8,0.0,0.0,0.0,7.211786723360092e-12,3.42401,0.0,0.0,0.8782238222096908
OK,clean_rayyan,HC,0.2,0.8,0.0,0.0,0.0,0.0,3.988318,0.0,0.0,0.0
OK,clean_rayyan,GMM,0.2,0.8,0.0,0.5406882915630535,2.099066479366884,1.3905543383430086e-12,5.026078,0.9999999999981506,0.9999999999995236,0.16933639233314413
OK,clean_rayyan,KMEANSPPS,0.2,0.8,0.0,0.0,0.0,2.9818369995382454e-12,3.553103,0.0,0.0,0.36311671259749184
OK,clean_beers,DBSCAN,0.35,0.2,0.45,0.0,0.0,0.0,3.707091,0.0,0.0,0.0
OK,clean_rayyan,KMEANSNF,0.2,0.8,0.0,0.0,0.0,3.602673714908633e-12,5.755888,0.0,0.0,0.4387198348271878
OK,clean_flights,KMEANSNF,0.2,0.8,0.0,0.0,0.0,5.59996493620929e-13,40.651375,0.0,0.0,0.20933630582065174
OK,clean_beers,KMEANS,0.35,0.2,0.45,0.0,0.0,5.145883719137601e-13,6.352921,0.0,0.0,0.33975460359803983
OK,clean_beers,GMM,0.35,0.2,0.45,0.23241711174878305,0.8062802971477984,3.771427614651657e-13,12.078752,0.9999999999956973,0.9999999999987598,0.24900677204369823
OK,clean_beers,HC,0.35,0.2,0.45,0.0,0.0,0.0,13.364317,0.0,0.0,0.0
OK,clean_beers,KMEANSPPS,0.35,0.2,0.45,0.0,0.0,4.987121826616203e-13,7.160239,0.0,0.0,0.32927242273190827
OK,clean_flights,DBSCAN,0.35,0.2,0.45,0.0,0.0,0.0,4.621199,0.0,0.0,0.0
OK,clean_beers,KMEANSNF,0.35,0.2,0.45,0.0,0.0,4.3709480479492413e-13,21.026451,0.0,0.0,0.2885898326570621
OK,clean_flights,KMEANS,0.35,0.2,0.45,0.0,0.0,1.6302514893595799e-12,7.114692,0.0,0.0,0.6094160021154739
OK,clean_flights,KMEANSPPS,0.35,0.2,0.45,0.0,0.0,1.38311584407802e-12,10.095688,0.0,0.0,0.5170324539876446
OK,clean_flights,GMM,0.35,0.2,0.45,0.47124639363747484,0.9629085640785587,6.817879594223086e-13,21.082239,0.999999999997878,0.9999999999989615,0.2548640471936206
OK,clean_hospital,DBSCAN,0.35,0.2,0.45,0.0,0.0,0.0,3.646384,0.0,0.0,0.0
OK,clean_hospital,GMM,0.35,0.2,0.45,0.3489388017572333,1.0133856724909853,5.966338534335591e-13,11.812308,0.9999999999971342,0.9999999999990131,0.36425997556245615
OK,clean_hospital,HC,0.35,0.2,0.45,0.0,0.0,0.0,9.628185,0.0,0.0,0.0
OK,clean_flights,HC,0.35,0.2,0.45,0.0,0.0,0.0,35.065271,0.0,0.0,0.0
OK,clean_hospital,KMEANS,0.35,0.2,0.45,0.0,0.0,5.878630915390204e-13,6.055895,0.0,0.0,0.35890520480148963
OK,clean_hospital,KMEANSNF,0.35,0.2,0.45,0.0,0.0,3.957945082788683e-13,7.476069,0.0,0.0,0.2416425033271597
OK,clean_rayyan,DBSCAN,0.35,0.2,0.45,0.0,0.0,0.0,3.004208,0.0,0.0,0.0
OK,clean_hospital,KMEANSPPS,0.35,0.2,0.45,0.0,0.0,6.379341499496149e-13,7.618006,0.0,0.0,0.38947484547485545
OK,clean_flights,KMEANSNF,0.35,0.2,0.45,0.0,0.0,5.59996493620929e-13,35.185287,0.0,0.0,0.20933630582065174
OK,clean_rayyan,GMM,0.35,0.2,0.45,0.5406882915630535,2.099066479366884,1.3905543383430086e-12,5.051844,0.9999999999981506,0.9999999999995236,0.16933639233314413
OK,clean_rayyan,HC,0.35,0.2,0.45,0.0,0.0,0.0,3.825742,0.0,0.0,0.0
OK,clean_rayyan,KMEANS,0.35,0.2,0.45,0.0,0.0,7.211786723360092e-12,2.473219,0.0,0.0,0.8782238222096908
OK,clean_rayyan,KMEANSNF,0.35,0.2,0.45,0.0,0.0,3.602673714908633e-12,3.681887,0.0,0.0,0.4387198348271878
OK,clean_rayyan,KMEANSPPS,0.35,0.2,0.45,0.0,0.0,5.281552972746795e-12,2.372919,0.0,0.0,0.6431673338181503
OK,clean_beers,DBSCAN,0.35,0.35,0.3,0.0,0.0,0.0,2.169957,0.0,0.0,0.0
OK,clean_beers,KMEANS,0.35,0.35,0.3,0.0,0.0,5.145883719137601e-13,6.507898,0.0,0.0,0.33975460359803983
OK,clean_beers,GMM,0.35,0.35,0.3,0.23241711174878305,0.8062802971477984,3.771427614651657e-13,11.801085,0.9999999999956973,0.9999999999987598,0.24900677204369823
OK,clean_beers,HC,0.35,0.35,0.3,0.0,0.0,0.0,11.830137,0.0,0.0,0.0
OK,clean_beers,KMEANSPPS,0.35,0.35,0.3,0.0,0.0,4.848343948538059e-13,6.262828,0.0,0.0,0.3201096772195555
OK,clean_flights,DBSCAN,0.35,0.35,0.3,0.0,0.0,0.0,4.821919,0.0,0.0,0.0
OK,clean_flights,KMEANS,0.35,0.35,0.3,0.0,0.0,1.6302514893595799e-12,8.458499,0.0,0.0,0.6094160021154739
OK,clean_beers,KMEANSNF,0.35,0.35,0.3,0.0,0.0,4.3709480479492413e-13,24.008385,0.0,0.0,0.2885898326570621
OK,clean_flights,GMM,0.35,0.35,0.3,0.47124639363747484,0.9629085640785587,6.817879594223086e-13,19.746924,0.999999999997878,0.9999999999989615,0.2548640471936206
OK,clean_flights,KMEANSPPS,0.35,0.35,0.3,0.0,0.0,1.0811351813799774e-12,10.880734,0.0,0.0,0.4041468965268649
OK,clean_hospital,DBSCAN,0.35,0.35,0.3,0.0,0.0,0.0,3.735012,0.0,0.0,0.0
OK,clean_hospital,HC,0.35,0.35,0.3,0.0,0.0,0.0,9.392681,0.0,0.0,0.0
